gene,connectivity_raw,connectivity_variance_normalized
HNRNPA1,0.17204109231360828,0.1566105587958763
ABLIM1,0.10856601584735652,0.15656609671667754
BUD31,0.1391481742779468,0.15654279197421225
RHOA,0.17290850580346415,0.15652074846157324
RPL24,0.22053139149777992,0.15651690645395372
CLU,0.14678074885476292,0.1563996171298925
LUC7L3,0.18047784184777438,0.15638832387119977
GLUL,0.12153141174204572,0.15617335619649297
SMIM14,0.12779476256049627,0.15615390750334518
YWHAG,0.1552479488966337,0.15609016157509437
RPL13,0.2061986466154284,0.15607566017730962
GSTM3,0.1255618666788091,0.15598802114529808
DHRS3,0.10173785761454573,0.15590238356411984
MGST1,0.21502776943364976,0.1558803771726944
MORF4L2,0.16707040690630168,0.15572287832126577
RP11-159C21.4,0.12463626516748658,0.15572156270878562
TMED9,0.1470606851991061,0.15560400496122384
CD9,0.17783697531954273,0.15556674581818805
CHMP2A,0.15863840479497437,0.1555324854452054
LIMCH1,0.19231586546252813,0.15543943754492934
ANKRD12,0.130621217692652,0.15524324010943652
TMSB4XP4,0.07369650196332173,0.1552361554233832
FNBP1,0.11636702651518854,0.15518585679625913
VMP1,0.10058488871048779,0.15511111011266465
CAPN2,0.1710544912933412,0.15502270779627508
SLC38A2,0.1327285794864132,0.15502237053974238
DAP,0.14937909779136962,0.15483988389970493
CYBRD1,0.10423581650636377,0.1548122403285967
MARCKSL1,0.12020063490425138,0.15480390406339692
SPECC1,0.12305194883019158,0.15473685444495372
FAM114A1,0.11011292305752828,0.1547029946761663
MIR205HG,0.15987150578738718,0.15455134685026553
CDV3,0.16111956094090912,0.15452491263475934
EPS8,0.1671411068280646,0.15444894703288697
MATR3,0.16799192346333647,0.15443420035094732
ADAM9,0.13752783130902485,0.15426025779969751
CLIP4,0.10652886444536866,0.1541694289441825
RPL29,0.15209234062706348,0.15411154580898304
IGFBP7,0.13003152785132646,0.1540661663666018
IGF2BP3,0.14503974816492834,0.1540372610720695
RP11-169K16.8,0.1120603044044396,0.15397006532596455
XRCC6,0.1770749588672358,0.1539345385366196
C8orf4,0.06568042417313273,0.1537197612930041
MRPS15,0.13099604070105575,0.15358679374410214
MKRN1,0.10446443355545391,0.15353401103022146
MT-TT,0.09402365456787928,0.1533023983216069
CYP1B1,0.13023614640303974,0.15325723029799723
CBX6,0.1259551989351463,0.1531758479974065
SMARCE1,0.13494839411378312,0.1531632900222842
RPL14,0.2097184397102942,0.1531551054733939
NPEPPS,0.13622329265061567,0.15312673553145717
ATF4,0.1604886603023145,0.1529037538665156
VGLL3,0.08101011934246359,0.15275591800279312
ARFGAP1,0.07814709860438963,0.15274488282681808
RPS11,0.20507376612164713,0.15264576848755881
CLIC3,0.07225074693003453,0.15257972239862994
RP11-622K12.1,0.11789056362950177,0.15256697360874438
OS9,0.09845810030529403,0.15246435762829394
CD151,0.12313839755724434,0.15244219366544612
SERF2,0.2038386292720149,0.15239883119520242
RPL13AP5,0.10616339780618186,0.15238081877082485
CLINT1,0.13379639494508241,0.15230930141248644
SLC7A11,0.1714537975173836,0.15225434993133505
MTX2,0.09719599910044978,0.15225410152462207
HSP90B1,0.2107018840953171,0.15217612258821503
SCAF11,0.15156166165317506,0.15215456296698038
PTPRF,0.13726895789278357,0.15212110305277163
PSMB4,0.15737579259476964,0.1520708801666747
LY6E,0.13375863147219536,0.15197848352868892
MUC4,0.11882983647504686,0.1519581766699059
TMEM30A,0.14275989343648374,0.15190541743219182
CDC42,0.13897908755016522,0.15185246076928685
PLD3,0.07978480867408393,0.15177838434417745
HNRNPA3,0.1528013041641824,0.15173459034299136
FTH1P2,0.06931876799409524,0.15165208278820272
AC004453.8,0.13458013552779816,0.15150566755165298
MUC20,0.08439951363183623,0.15148170657055787
NFE2L2,0.1459374616009941,0.15146291163578418
POLR1D,0.1160261128768882,0.15126909574912892
MT-CYB,0.22127242747980425,0.15124260525286887
MTPN,0.14807790301026008,0.1510695485001839
FBLIM1,0.0737348311940964,0.1509914328499281
KDELR2,0.15029469146605334,0.15090408757136517
CTNND1,0.12979842603895472,0.1508950718522153
COX7A2,0.18584342451828179,0.1508761643147809
MYL9,0.0632847481686432,0.15084097692951873
CAV1,0.21272970169762379,0.15080756572519008
BMPR2,0.0782777111822857,0.15078248017746765
DAD1,0.13929027782906325,0.1506354968455436
HDLBP,0.19025348259590663,0.15043309612552946
RP11-475C16.1,0.11643841427090539,0.1503813278707495
MTDH,0.16441868428953807,0.15037915240251476
SH2D4A,0.1103188445339553,0.15025148163647736
HIBADH,0.0948237240881761,0.15024507651010555
PAIP1,0.11252324598164562,0.1501794421043751
COMMD6,0.1482241857951389,0.15011325945797865
CHMP1B,0.11840157747714394,0.15002800781788833
ZYX,0.106217155624295,0.15002610173549966
KLK8,0.09949487086099318,0.1500049060720882
TNRC6A,0.12134344480744355,0.14988370937688428
CAPZB,0.13657026561160707,0.14971144295808492
TUFM,0.15673174001504417,0.14961603850146526
EDF1,0.15710533943652782,0.14955359350897518
RP11-864N7.2,0.13029693601935352,0.1494215333379709
TM9SF2,0.10167820054726241,0.14939365613468644
